Model,RMSE,R²,MAE,Accuracy (%)
Random Forest,0.026803873,0.821009908,0.017069121,90.97249499
SVM,0.04914485,0.398286264,0.041594144,78.00171764
KNN,0.027853407,0.806718382,0.019038805,89.9307697
ANN,0.058847336,0.137244956,0.050827949,73.11814938
CNN,0.032957891,0.729384467,0.024206829,87.19750915
GRU,0.050235572,0.371280991,0.039503222,79.1075632
